year,state,west,midwest,northeast,southeast,southwest,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm,Cost,Avg_Tmp,Min_Tmp,Max_Tmp,Precip,Avg_Elevation,Unemployment,Population,Size,GDP,Inflation_Rate,Personal Income
1981,MA,0,0,1,0,0,0,0,0,0,0,0,0,0,47.3,37,57.5,46.64,750,6.391666667,5768685,10555,77833,0.1033,#N/A
1981,MD,0,0,1,0,0,0,0,0,0,0,0,0,0,53,42.8,63.2,39.48,100,7.083333333,4261905,12407,53117,0.1033,52570
1981,ME,0,0,1,0,0,0,0,0,0,0,0,0,0,41.6,31.9,51.4,50.61,500,7.241666667,1133033,35385,11255,0.1033,10383
1981,MI,0,1,0,0,0,0,0,0,0,0,0,0,0,43.6,33.7,53.6,34.06,350,12.375,9209287,96716,114676,0.1033,101992
1981,MN,0,1,0,0,0,0,0,0,0,0,0,0,0,41.1,30.4,51.7,29.27,600,5.758333333,4111728,86938,55404,0.1033,#N/A
1981,MO,0,1,0,0,0,0,0,0,0,0,0,0,0,54.2,43.2,65.2,48.16,900,7.708333333,4932064,69704,57763,0.1033,51210
1981,MS,0,0,0,1,0,0,0,0,0,0,0,0,0,63.4,51.5,75.2,46.44,1200,8.516666667,2539036,48431,24023,0.1033,19911
1981,MT,1,0,0,0,0,0,0,0,0,0,0,0,0,42.3,29.9,54.7,20.25,800,6.725,795328,147042,10201,0.1033,8101
1981,NC,0,0,0,1,0,0,0,0,0,0,0,0,0,57.2,45.6,68.9,45.26,300,6.425,5956653,53818,65869,0.1033,54457
1981,ND,0,1,0,0,0,0,0,0,0,0,0,0,0,41.2,29.2,53.2,17.72,3400,4.925,659505,70700,9954,0.1033,6792
1981,NE,0,1,0,0,0,0,0,0,0,0,0,0,0,49.3,36.5,62,24.6,700,4.125,1578515,77358,20863,0.1033,16699
1981,NH,0,0,1,0,0,0,0,0,0,0,0,0,0,43.1,32.5,53.8,52.4,1900,5.058333333,936621,9350,10480,0.1033,10288
1981,NJ,0,0,1,0,0,0,0,0,0,0,0,0,0,51.4,41.2,61.5,42.79,2600,7.525,7407472,8722,98755,0.1033,96195
1981,NM,0,0,0,0,1,0,0,0,0,0,0,0,0,54.2,39.3,69.1,15.57,1000,7.225,1332748,121589,18511,0.1033,12375
1981,NV,1,0,0,0,0,0,0,0,0,0,0,0,0,51.2,37.7,64.6,11.02,250,7.316666667,847655,110560,13203,0.1033,10774
1981,NY,0,0,1,0,0,0,0,0,0,0,0,0,0,44.7,34.9,54.4,42.41,5700,7.558333333,17567734,54556,261840,0.1033,215380
1981,OH,0,1,0,0,0,0,0,0,0,0,0,0,0,49.5,39.3,59.6,42.39,5500,9.566666667,10788330,44825,132782,0.1033,117829
1981,OK,0,0,0,0,1,0,0,0,1,0,0,0,100,60.1,48.2,72.1,37.46,1000,3.566666667,3096164,69899,45430,0.1033,33880
1981,OR,1,0,0,0,0,0,0,0,0,0,0,0,0,47.3,36.1,58.4,41,850,9.7,2667982,98380,31590,0.1033,28820
1981,PA,0,0,1,0,0,0,0,0,0,0,0,0,0,47.4,37.2,57.7,42.98,1300,8.366666667,11858567,46056,138573,0.1033,#N/A
1981,PR,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,3300,#N/A,#N/A,#N/A,#N/A,0.1033,#N/A
1981,RI,0,0,1,0,0,0,0,0,0,0,0,0,0,49,39.5,58.5,44.98,1100,7.558333333,953013,1545,10729,0.1033,10229
